#PTM ID	Entrez Gene ID	BioGRID ID	Systematic Name	Official Symbol	Synonymns	Relationship	Identity	Author	Pubmed ID	Organism ID	Organism Name	Source Database
31889	852457	32859	YBR160W	CDC28	CDK1|HSL5|SRM5|cyclin-dependent serine/threonine-protein kinase CDC28|L000000267	kinase	catalytic	Holt LJ (2009)	19779198	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31890	852457	32859	YBR160W	CDC28	CDK1|HSL5|SRM5|cyclin-dependent serine/threonine-protein kinase CDC28|L000000267	kinase	catalytic	Holt LJ (2009)	19779198	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31891	852457	32859	YBR160W	CDC28	CDK1|HSL5|SRM5|cyclin-dependent serine/threonine-protein kinase CDC28|L000000267	kinase	catalytic	Holt LJ (2009)	19779198	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31892	852457	32859	YBR160W	CDC28	CDK1|HSL5|SRM5|cyclin-dependent serine/threonine-protein kinase CDC28|L000000267	kinase	catalytic	Holt LJ (2009)	19779198	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31893	852457	32859	YBR160W	CDC28	CDK1|HSL5|SRM5|cyclin-dependent serine/threonine-protein kinase CDC28|L000000267	kinase	catalytic	Holt LJ (2009)	19779198	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31894	852457	32859	YBR160W	CDC28	CDK1|HSL5|SRM5|cyclin-dependent serine/threonine-protein kinase CDC28|L000000267	kinase	catalytic	Holt LJ (2009)	19779198	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31895	852457	32859	YBR160W	CDC28	CDK1|HSL5|SRM5|cyclin-dependent serine/threonine-protein kinase CDC28|L000000267	kinase	catalytic	Holt LJ (2009)	19779198	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31896	852457	32859	YBR160W	CDC28	CDK1|HSL5|SRM5|cyclin-dependent serine/threonine-protein kinase CDC28|L000000267	kinase	catalytic	Holt LJ (2009)	19779198	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31897	852457	32859	YBR160W	CDC28	CDK1|HSL5|SRM5|cyclin-dependent serine/threonine-protein kinase CDC28|L000000267	kinase	catalytic	Holt LJ (2009)	19779198	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31898	852457	32859	YBR160W	CDC28	CDK1|HSL5|SRM5|cyclin-dependent serine/threonine-protein kinase CDC28|L000000267	kinase	catalytic	Holt LJ (2009)	19779198	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31899	852457	32859	YBR160W	CDC28	CDK1|HSL5|SRM5|cyclin-dependent serine/threonine-protein kinase CDC28|L000000267	kinase	catalytic	Holt LJ (2009)	19779198	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31900	852457	32859	YBR160W	CDC28	CDK1|HSL5|SRM5|cyclin-dependent serine/threonine-protein kinase CDC28|L000000267	kinase	catalytic	Holt LJ (2009)	19779198	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31901	852457	32859	YBR160W	CDC28	CDK1|HSL5|SRM5|cyclin-dependent serine/threonine-protein kinase CDC28|L000000267	kinase	catalytic	Holt LJ (2009)	19779198	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31902	852457	32859	YBR160W	CDC28	CDK1|HSL5|SRM5|cyclin-dependent serine/threonine-protein kinase CDC28|L000000267	kinase	catalytic	Holt LJ (2009)	19779198	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31909	852457	32859	YBR160W	CDC28	CDK1|HSL5|SRM5|cyclin-dependent serine/threonine-protein kinase CDC28|L000000267	kinase	catalytic	Zegerman P (2007)	17167417	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31909	852457	32859	YBR160W	CDC28	CDK1|HSL5|SRM5|cyclin-dependent serine/threonine-protein kinase CDC28|L000000267	kinase	catalytic	Tak YS (2006)	16619031	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
